#SampleID	Dataset	lat	long	pH	specific_location	Moisture	N	C	CN	CO2_C
CP432	Central_Park	40.78129	-73.96084	6.1	"New York, NY USA"	28.60978172	0.5245	12.39	23.62249762	3.243279968
CP306	Central_Park	40.77525	-73.97392	6.93	"New York, NY USA"	19.67193839	0.5323	9.571	17.98046215	2.477058724
CP328	Central_Park	40.77524	-73.96518	7.53	"New York, NY USA"	35.58224756	0.541	13.42	24.80591497	1.314219535
CP235	Central_Park	40.77728	-73.96388	6.15	"New York, NY USA"	24.83838755	0.5671	13.07	23.04708164	2.96529939
CP690	Central_Park	40.79504	-73.95971	6.09	"New York, NY USA"	31.37707282	0.5773	12.42	21.51394422	5.656981767
CP628	Central_Park	40.79906	-73.95568	5.6	"New York, NY USA"	28.62398823	0.5876	13.24	22.53233492	4.387986499
CP460	Central_Park	40.79108	-73.96178	5.27	"New York, NY USA"	26.12609747	0.5987	16.58	27.69333556	4.786891208
CP551	Central_Park	40.78119	-73.96127	6.61	"New York, NY USA"	18.34774256	0.6707	3.875	5.777545848	1.862708019
CP468	Central_Park	40.78848	-73.96246	5.46	"New York, NY USA"	26.90532745	0.7167	16.58	23.13380773	4.95035567
CP670	Central_Park	40.79612	-73.95229	7.73	"New York, NY USA"	32.17514	0.7893	19.91	25.22488281	2.572461583
CP693	Central_Park	40.79599	-73.95876	4.59	"New York, NY USA"	28.70036832	0.8012	38.93	48.58961558	4.558662328
CP440	Central_Park	40.78203	-73.96289	6.82	"New York, NY USA"	46.95642772	0.8465	61.48	72.62847017	4.370419642
CP699	Central_Park	40.79664	-73.96058	5.52	"New York, NY USA"	29.94776553	0.8468	21.14	24.96457251	3.737719945
CP555	Central_Park	40.79025	-73.96545	5.65	"New York, NY USA"	23.48516137	4.903	11.08	2.259840914	2.133348912
CP553	Central_Park	40.78169	-73.96066	6.17	"New York, NY USA"	23.91695375	4.908	11.96	2.436837816	2.073075369
CP561	Central_Park	40.78934	-73.96061	4.84	"New York, NY USA"	16.67809687	NA	NA	NA	4.246821307
CP573	Central_Park	40.78828	-73.96552	6.03	"New York, NY USA"	19.63580518	NA	NA	NA	2.258085942
CP574	Central_Park	40.78892	-73.9663	5.98	"New York, NY USA"	14.86966054	NA	NA	NA	3.063983417
CP575	Central_Park	40.78834	-73.96643	5.64	"New York, NY USA"	12.44880182	NA	NA	NA	3.850319857
CP234	Central_Park	40.77795	-73.96414	7.66	"New York, NY USA"	9.640845409	0.1158	1.739	15.01727116	4.783897354
CP225	Central_Park	40.78049	-73.96818	7.08	"New York, NY USA"	9.393352592	0.1671	2.56	15.32016756	6.638679498
CP340	Central_Park	40.77361	-73.96759	6.81	"New York, NY USA"	11.09674386	0.1714	2.918	17.02450408	1.250852579
CP430	Central_Park	40.78159	-73.96423	6.41	"New York, NY USA"	11.88073296	0.1755	3.591	20.46153846	5.503263881
CP420	Central_Park	40.78301	-73.96699	6.15	"New York, NY USA"	11.60548395	0.1911	3.657	19.13657771	1.192367035
CP325	Central_Park	40.77659	-73.967	5.16	"New York, NY USA"	15.94685967	0.2411	4.696	19.47739527	2.107725593
CP223	Central_Park	40.78007	-73.96638	6.54	"New York, NY USA"	12.34567901	0.2604	4.352	16.71274962	1.51599762
CP319	Central_Park	40.77483	-73.97112	6.11	"New York, NY USA"	16.32728963	0.269	5.412	20.11895911	1.711336583
CP110	Central_Park	40.77189	-73.97271	5.86	"New York, NY USA"	11.12402819	0.2707	5.549	20.49870706	2.855832719
CP6	Central_Park	40.7671	-73.97827	6.4	"New York, NY USA"	13.76764825	0.2791	7.325	26.24507345	1.775988823
CP254	Central_Park	40.77571	-73.96915	5.86	"New York, NY USA"	22.68084286	0.2862	5.225	18.25646401	3.29884795
CP252	Central_Park	40.77626	-73.96797	7.77	"New York, NY USA"	24.23284799	0.287	6.698	23.33797909	2.310567319
CP97	Central_Park	40.77121	-73.97318	6.2	"New York, NY USA"	15.53940254	0.3178	6.223	19.5814978	6.180012615
CP589	Central_Park	40.78574	-73.96864	5.83	"New York, NY USA"	17.37948084	0.319	8.764	27.47335423	2.585483304
CP484	Central_Park	40.79069	-73.95488	6.7	"New York, NY USA"	29.45251099	0.3383	9.076	26.82825894	6.338453273
CP226	Central_Park	40.78003	-73.96817	6.97	"New York, NY USA"	19.56929147	0.3519	6.543	18.59335038	4.978351315
CP216	Central_Park	40.77888	-73.9678	5.93	"New York, NY USA"	20.33655961	0.3533	6.62	18.73761676	4.110056495
CP211	Central_Park	40.78076	-73.96873	6.34	"New York, NY USA"	17.79038242	0.3561	7.57	21.25807357	5.20974115
CP232	Central_Park	40.77875	-73.96552	5.87	"New York, NY USA"	19.41171259	0.3576	6.566	18.36129754	2.760228425
CP317	Central_Park	40.77544	-73.9725	7.15	"New York, NY USA"	31.06856786	0.3589	7.776	21.66620228	7.555962825
CP330	Central_Park	40.77502	-73.9664	6.15	"New York, NY USA"	19.78479098	0.3831	8.056	21.0284521	6.94156189
CP134	Central_Park	40.77126	-73.96826	6.58	"New York, NY USA"	17.86638847	0.3925	7.08	18.03821656	6.547626645
CP329	Central_Park	40.77479	-73.96577	5.72	"New York, NY USA"	24.02885292	0.4031	9.606	23.83031506	3.23658914
CP239	Central_Park	40.77626	-73.96556	6.98	"New York, NY USA"	25.21089241	0.4094	9.723	23.74938935	3.831400691
CP124	Central_Park	40.77301	-73.97464	6.46	"New York, NY USA"	20.05641749	0.4095	9.075	22.16117216	4.696131964
CP447	Central_Park	40.78489	-73.96846	5.9	"New York, NY USA"	19.43221546	0.4157	8.651	20.81068078	3.256296834
CP335	Central_Park	40.77249	-73.9673	6.96	"New York, NY USA"	12.49717386	0.4203	7.778	18.50582917	4.035324548
CP4	Central_Park	40.76811	-73.98017	6.34	"New York, NY USA"	32.15123593	0.4208	9.272	22.03422053	2.439721536
CP593	Central_Park	40.78503	-73.96916	6.14	"New York, NY USA"	21.87017818	0.4365	8.324	19.069874	5.822286715
CP426	Central_Park	40.78234	-73.96771	6.12	"New York, NY USA"	25.24774225	0.4523	10.64	23.5242096	8.666251069
CP47	Central_Park	40.7665	-73.97163	7.44	"New York, NY USA"	33.79087606	0.4564	10.93	23.94829097	3.50001154
CP201	Central_Park	40.7819	-73.97128	7.12	"New York, NY USA"	28.45841836	0.4565	8.071	17.68017525	1.555009777
CP327	Central_Park	40.77586	-73.96601	6.39	"New York, NY USA"	23.35286551	0.4722	9.353	19.80728505	5.235714574
CP133	Central_Park	40.77073	-73.96877	7.45	"New York, NY USA"	33.6121311	0.4795	15.58	32.49217935	2.13703456
CP248	Central_Park	40.7796	-73.96593	6.73	"New York, NY USA"	28.53693694	0.4895	9.902	20.2288049	4.092802634
CP592	Central_Park	40.78447	-73.96756	6.34	"New York, NY USA"	20.37962425	0.5212	12.64	24.25172678	1.407966744
CP20	Central_Park	40.76659	-73.97304	5.48	"New York, NY USA"	14.22224965	0.5242	9.599	18.31171309	3.413202311
CP116	Central_Park	40.77291	-73.97697	6.76	"New York, NY USA"	22.08243869	0.5521	11.17	20.23184206	6.209410936
CP237	Central_Park	40.77614	-73.96492	6.35	"New York, NY USA"	38.24719237	0.5874	16.3	27.74940415	5.888345429
CP3	Central_Park	40.76842	-73.98043	7.03	"New York, NY USA"	40.24726791	0.5965	15.25	25.5658005	4.045652079
CP242	Central_Park	40.77752	-73.96501	7.09	"New York, NY USA"	26.61487955	0.6309	14.46	22.91963861	5.60481838
CP464	Central_Park	40.79192	-73.96291	5.18	"New York, NY USA"	13.00676562	0.6398	17.21	26.89903095	12.41244193
CP591	Central_Park	40.78247	-73.96061	7.23	"New York, NY USA"	23.21869037	0.6767	21.71	32.08216344	4.735985625
CP238	Central_Park	40.77615	-73.96532	6.69	"New York, NY USA"	47.18699643	0.7899	24.96	31.59893657	3.062620159
CP131	Central_Park	40.77129	-73.96986	6.77	"New York, NY USA"	40.2615703	0.9217	33.2	36.02039709	10.34006818
CP60	Central_Park	40.7704	-73.97989	6.31	"New York, NY USA"	52.02880428	1.069	55.11	51.55285313	7.873876195
CP410	Central_Park	40.78255	-73.96648	7.25	"New York, NY USA"	66.34548003	1.564	139.1	88.93861893	0
CP559	Central_Park	40.78865	-73.96204	7.16	"New York, NY USA"	20.10715022	NA	NA	NA	1.948932423
CP577	Central_Park	40.78313	-73.96006	6.83	"New York, NY USA"	23.79901606	NA	NA	NA	2.051714809
